title,year,type,root_key,all_ids,sources,draft,jellyplex,drive,draft_mtime,nas_mtime,drive_mtime,episodes,thuyet_minh_vn,sub_langs,folder_local,folder_jellyfin,folder_plex,folder_gdrive
5 Centimeters per Second,2025,,tmdb-1359916,imdb-tt33477484 tmdb-1359916,jellyfin,0,1,0,,2025-06-23,,,0,,,5 Centimeters Per Second [1080] [Blu-Ray].mkv,,
5 Centimeters per Second,,,tvdb-3000,imdb-tt0983213 tmdb-38142 tvdb-3000,plex,0,1,0,,,,,0,,,,5 Centimet Trên Giây,
A Chinese Odyssey Part One: Pandora's Box,,,tvdb-6861,imdb-tt0112778 tmdb-13345 tvdb-6861,plex,0,1,0,,,,,0,,,,Đại Thoại Tây Du I: Nguyệt Quang Bảo Hạp,
A Chinese Odyssey Part Two: Cinderella,,,tvdb-10459,imdb-tt0114996 tmdb-21835 tvdb-10459,plex,0,1,0,,,,,0,,,,Đại Thoại Tây Du Phần II: Tiên Lý Kỳ Duyên,
A Distant Trumpet,1996,,tvdb-37552,imdb-tt0058019 imdb-tt12428476 tmdb-69472 tvdb-37552,jellyfin+plex,0,1,0,,2025-04-09,,,0,,,Kindaichi Shounen no Jikenbo - The Opera House Murders (1996) - [1080p HEVC].mp4,A Distant Trumpet,
A Step Into The Past,2001,,tvdb-250640,imdb-tt0855326 tmdb-1375 tvdb-250640,jellyfin+plex,0,1,0,,2026-05-13,,,0,,,A Step Into The Past 2001,Cỗ Máy Thời Gian,
America's Game: 2003 New England Patriots,2007,,tmdb-1580412,imdb-tt0338459 tmdb-1580412,jellyfin,0,1,0,,2023-08-15,,,0,,,Game (2003).mp4,,
Angelo Rules,,,tmdb-38965,tmdb-38965 tvdb-230211,local+gdrive,1,0,1,,,,,0,,Tantei Gakuen Q (2003) {tvdb-230211} [tvdbid-230211],,,Tantei Gakuen Q (2003) {tvdb-230211} [tvdbid-230211]
Ant-Man,2015,,tvdb-163,imdb-tt0478970 tmdb-102899 tvdb-163,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,vie",,Ant-Man (2015).mkv,Ant-Man: Người Kiến,
Ant-Man and the Wasp,2018,,tvdb-28,imdb-tt5095030 tmdb-363088 tvdb-28,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,vie",,Ant-Man and the Wasp (2018).mkv,Người Kiến và Chiến Binh Ong,
Ant-Man and the Wasp: Quantumania,2023,,tvdb-132202,imdb-tt10954600 tmdb-640146 tvdb-132202,jellyfin+plex,0,1,0,,2023-07-29,,,0,"eng,fre,spa,vie",,Ant-Man and the Wasp Quantumania (2023).mkv,Người Kiến và Chiến Binh Ong: Thế Giới Lượng Tử,
Avatar,2009,,tvdb-165,imdb-tt0499549 tmdb-19995 tvdb-165,jellyfin+plex,0,1,0,,2023-10-21,,,0,,,Avatar (2009).mkv,Avatar: Thế Thân,
Avatar Aang: The Last Airbender,2026,,tvdb-354041,imdb-tt18259538 tmdb-980431 tvdb-354041,jellyfin+plex,0,1,0,,2026-08-25,,,0,,,Avatar Aang The Last Airbender (2026).strm,Huyền Thoại Aang: Tiết Khí Sư Cuối Cùng,
Avatar: Fire and Ash,2025,,tvdb-30126,imdb-tt1757678 tmdb-83533 tvdb-30126,jellyfin+plex,0,1,0,,2026-08-25,,,0,,,Avatar Fire and Ash (2025).strm,Avatar: Lửa và Tro Tàn,
Avataro Sentai Donbrothers,2022,,tvdb-413689,imdb-tt15776622 tmdb-153918 tvdb-413689,jellyfin+plex,0,1,0,,2026-08-24,,66,0,,,Avataro Sentai Donbrothers,Chiến Đội Bạo Thái Lang Donbrothers,
Avataro Sentai Donbrothers The Movie: New First Love Hero,2022,,tvdb-353900,imdb-tt18347074 tmdb-937315 tvdb-353900,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Avataro Sentai Donbrothers The Movie: New First Love Hero.mkv,Chiến Đội Bạo Thái Lang Donbrothers: Người Hùng Mối Tình Đầu Tiên Mới,
Avataro Sentai Donbrothers vs. Avataro Sentai Donburies,2023,,tmdb-1132450,imdb-tt29706409 tmdb-1132450,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Avataro Sentai Donbrothers vs Avataro Sentai Donburies.mkv,Avataro Sentai Donbrothers vs. Avataro Sentai Donburies,
Avataro Sentai Donbrothers vs. Zenkaiger,2023,,tvdb-346821,imdb-tt26920166 tmdb-1092060 tvdb-346821,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Avataro Sentai Donbrothers vs Zenkaiger.mkv,Avataro Sentai Donbrothers vs. Zenkaiger,
Avengers Confidential: Black Widow & Punisher,2014,,tvdb-5853,imdb-tt3482378 tmdb-257346 tvdb-5853,jellyfin+plex,0,1,0,,2025-06-04,,,0,eng,,Avengers Confidential Black Widow And Punisher 2014 -.mkv,Biệt Đội Siêu Anh Hùng Bí Mật: Black Widow và Punisher,
Avengers: Age of Ultron,2015,,tvdb-59,imdb-tt2395427 tmdb-99861 tvdb-59,jellyfin+plex,0,1,0,,2022-06-20,,,0,"eng,vie",,Avengers Age of Ultron (2015).mkv,Avengers 2: Đế Chế Ultron,
Avengers: Endgame,2019,,tvdb-148,imdb-tt4154796 tmdb-299534 tvdb-148,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Avengers Endgame (2019).mkv,Avengers 4: Hồi Kết,
Avengers: Infinity War,2018,,tvdb-8,imdb-tt4154756 tmdb-299536 tvdb-8,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Avengers Infinity War (2018).mkv,Avengers 3: Cuộc Chiến Vô Cực,
Bakuage Sentai Boonboomger GekijoBOON! Promise The Circuit,2024,,tvdb-363528,imdb-tt32632087 tmdb-1305155 tvdb-363528,jellyfin+plex,0,1,0,,2025-05-30,,,0,,,Bakuage Sentai Boonboomger GekijoBOON! Promise The Circuit.mkv,Bakuage Sentai Boonboomger GekijoBoon! Promise the Circuit,
Bakuage Sentai Boonboomger VS King-Ohger,2025,,tvdb-364347,imdb-tt35680447 tmdb-1431475 tvdb-364347,jellyfin+plex,0,1,0,,2025-06-08,,,0,,,Bakuage Sentai Boonboomger VS King-Ohger.mkv,Bakuage Sentai Boonboomger VS King-Ohger,
Bakuryu Sentai Abaranger DELUXE: Abare Summer is Freezing Cold!,2003,,tvdb-62805,imdb-tt0860893 tmdb-200759 tvdb-62805,jellyfin+plex,0,1,0,,2021-08-07,,,0,,,Bakuryu Sentai Abaranger DELUXE: Abare Summer is Freezing Cold!.mkv,Bakuryuu Sentai Abaranger Deluxe: Abare Summer Is Freezing Cold,
Bakuryuu Sentai Abaranger Super Video: All Bakuryuu Roaring Laughter Battle,2003,,tmdb-984347,tmdb-984347,jellyfin+plex,0,1,0,,2017-10-20,,,0,,,Bakuryuu Sentai Abaranger Super Video: All Bakuryuu Roaring Laughter Battle.mkv,Bakuryuu Sentai Abaranger Super Video: All Bakuryuu Roaring Laughter Battle,
Bakuryuu Sentai Abaranger vs. Hurricaneger,2004,,tvdb-346438,imdb-tt0846669 tmdb-200758 tvdb-346438,jellyfin+plex,0,1,0,,2023-01-15,,,0,,,Bakuryuu Sentai Abaranger VS Hurricaneger.mkv,Bakuryuu Sentai Abaranger vs. Hurricaneger,
Bakuryū Sentai Abarenjā 20th: Yurusa Rezaru Abare,2023,,tmdb-1042228,imdb-tt23138370 tmdb-1042228,jellyfin+plex,0,1,0,,2025-06-24,,,0,,,Bakuryuu Sentai Abaranger 20th.mkv,Bakuryuu Sentai Abaranger 20th: The Unforgivable Abare,
Battle B-Daman (2004),2004,,tmdb-39050,imdb-tt0455244 tmdb-39050 tmdb-5594 tvdb-75939,jellyfin+plex+local+gdrive,1,1,1,,2026-09-03,,,0,,Battle B-Daman (2004) {tvdb-75939},Battle B-Daman (2004) {tvdb-75939},Battle B-Daman,Battle B-Daman (2004) {tvdb-75939} [tvdbid-75939]
Big Hero 6,2014,,tvdb-151,imdb-tt2245084 tmdb-177572 tvdb-151,jellyfin+plex,0,1,0,,2025-07-20,,,0,eng,,Big Hero 6 2014 -.mkv,Biệt Đội Big Hero 6,
Black Jack,1993,,tvdb-72281,imdb-tt5778326 tmdb-30083 tvdb-72281,jellyfin+plex+local+gdrive,1,1,1,,2026-05-12,,17,0,"eng,vie",Black Jack (1993) {tvdb-72281},Black Jack (1993) {tvdb-72281},Bác Sĩ Quái Dị,Black Jack (1993) {tvdb-72281}
Black Jack,2005,,tvdb-81092,imdb-tt0446543 imdb-tt7150338 tmdb-35868 tvdb-81092,jellyfin+plex+local,1,1,0,,2026-05-12,,76,0,vie,Black Jack (2004) {tvdb-81092},Black Jack (2004) {tvdb-81092},Bác Sĩ Quái Dị 21,
Black Jack - Two Doctors of Darkness (2005) {tmdb-38933} [tmdbid-38933],2005,,tmdb-38933,tmdb-38933,jellyfin,0,1,0,,2026-08-29,,,0,,,Black Jack - Two Doctors of Darkness (2005) - [1080p HEVC].mkv,,
Black Jack: The Movie,,,tmdb-27213,tmdb-27213,local,1,0,0,,,,,0,,Black Jack - The Movie (1996) {tmdb-27213},,,
Black Jack: The Two Doctors in Black,,,tmdb-87270,tmdb-87270,local,1,0,0,,,,,0,,Black Jack - Two Doctors of Darkness (2005) {tmdb-87270},,,
Black Panther,2018,,tvdb-48,imdb-tt1825683 tmdb-284054 tvdb-48,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,fre,spa,vie",,Black Panther (2018).mkv,Chiến Binh Báo Đen,
Black Panther: Wakanda Forever,2022,,tvdb-31110,imdb-tt9114286 tmdb-505642 tvdb-31110,jellyfin+plex,0,1,0,,2023-07-29,,,0,"eng,spa,vie",,Black Panther Wakanda Forever (2022).mkv,Chiến Binh Báo Đen: Wakanda Bất Diệt,
Black Widow,2021,,tvdb-27759,imdb-tt3480822 tmdb-497698 tvdb-27759,jellyfin+plex,0,1,0,,2022-06-20,,,0,"chi,dan,dut,eng,fin,fre,ger,ita,jpn,kor,nor,por,spa,swe,vie",,Black Widow (2021).mkv,Black Widow: Góa Phụ Đen,
Bomberman B-Daman Bakugaiden,1998,,tvdb-72904,tmdb-16823 tvdb-72904,jellyfin+local,1,1,0,,2026-08-24,,98,0,,Bomberman B-Daman Bakugaiden (1998) {tvdb-72904},Bomberman B-Daman Bakugaiden,,
Bomberman B-Daman Bakugaiden,,,tmdb-202560,tmdb-202560,plex,0,1,0,,,,,0,,,,Bomberman B-Daman Bakugaiden,
Bomberman B-Daman Bakugaiden Victory,1999,,tmdb-20652,tmdb-20652,jellyfin+plex+local,1,1,0,,2026-05-12,,50,0,,Bomberman B-Daman Bakugaiden Victory (1999) {tmdb-20652},Bomberman B-Daman Bakugaiden Victory,Bomberman B-Daman Bakugaiden Victory,
Boruto: Naruto the Movie,2015,,tvdb-6335,imdb-tt4618398 tmdb-347201 tvdb-6335,jellyfin+plex,0,1,0,,2023-10-14,,,0,vie,,Boruto Naruto the Movie (2015).mkv,Boruto: Naruto The Movie,
Broken,2012,,tvdb-29410,imdb-tt3554976 tmdb-264273 tvdb-29410,jellyfin+plex,0,1,0,,2023-05-18,,,0,,,Broken (2014).mp4,Tội Ác,
Brutus's Heart,2011,,tvdb-209722,imdb-tt1941471 tmdb-255231 tvdb-209722,jellyfin+plex,0,1,0,,2023-05-18,,,0,,,Brutus' Heart 2011.ts,Brutus' Heart,
Bumblebee,2018,,tvdb-52,imdb-tt4701182 tmdb-424783 tvdb-52,jellyfin+plex,0,1,0,,2023-10-21,,,0,vie,,Bumblebee (2018).mkv,Bumblebee,
Cap Revolution Bottleman (2020),,,tvdb-422680,tvdb-422680,local,1,0,0,,,,,0,,Cap Revolution Bottleman (2020) {tvdb-422680},,,
Captain America: Brave New World,2025,,tvdb-160768,imdb-tt14513804 tmdb-822119 tvdb-160768,jellyfin+plex,0,1,0,,2025-06-22,,,0,"eng,fre,rum,spa,vie",,Captain America Brave New World (2025).mkv,Captain America: Thế Giới Mới,
Captain America: Civil War,2016,,tvdb-118,imdb-tt3498820 tmdb-271110 tvdb-118,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Captain America Civil War (2016).mkv,Captain America: Nội Chiến Siêu Anh Hùng,
Captain America: The First Avenger,2011,,tvdb-180,imdb-tt0458339 tmdb-1771 tvdb-180,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,vie",,Captain America The First Avenger (2011).mkv,Captain America: Kẻ Báo Thù Đầu Tiên,
Captain America: The Winter Soldier,2014,,tvdb-965,imdb-tt1843866 tmdb-100402 tvdb-965,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,fre,vie",,Captain America The Winter Soldier (2014).mkv,Captain America: Chiến Binh Mùa Đông,
Captain Marvel,2019,,tvdb-10,imdb-tt4154664 tmdb-299537 tvdb-10,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Captain Marvel (2019).mkv,Đại Úy Marvel,
Case Closed: Countdown to Heaven,2001,,tvdb-16551,imdb-tt1073223 tmdb-32022 tvdb-16551,jellyfin+plex,0,1,0,,2023-08-02,,,1,"eng,vie",,Detective Conan: Countdown to Heaven (2001).mkv,Thám Tử Lừng Danh Conan: Những Giây Cuối Cùng Tới Thiên Đường,
Case Closed: The Crimson Love Letter,2017,,tvdb-13689,imdb-tt5692622 tmdb-438058 tvdb-13689,jellyfin+plex,0,1,0,,2023-07-30,,,1,"eng,vie",,Detective.Conan.Movie.21.Crimson.Love.Letter.2017.ViE.1080p.BluRay.DD5.1.x264-WMD.mkv,Thám Tử Lừng Danh Conan: Bản Tình Ca Màu Đỏ Thẫm,
Case Closed: The Fist of Blue Sapphire,2019,,tvdb-6281,imdb-tt9501310 tmdb-566555 tvdb-6281,jellyfin+plex,0,1,0,,2023-07-30,,,1,"eng,vie",,Detective Conan: The Fist of Blue Sapphire (2019).mkv,Thám Tử Lừng Danh Conan: Cú Đấm Sapphire Xanh,
Case Closed: The Fourteenth Target,1998,,tvdb-9361,imdb-tt0965649 tmdb-21452 tvdb-9361,jellyfin+plex,0,1,0,,2023-08-03,,,1,"eng,vie",,Detective Conan: The Fourteenth Target (1998).mkv,Thám Tử Lừng Danh Conan: Mục Tiêu Thứ 14,
Case Closed: Zero the Enforcer,2018,,tvdb-7615,imdb-tt7880466 tmdb-493006 tvdb-7615,jellyfin+plex,0,1,0,,2023-07-30,,,1,"eng,vie",,Detective Conan: Zero the Enforcer (2018).mkv,Thám Tử Lừng Danh Conan: Kẻ Hành Pháp Zero,
Children Who Chase Lost Voices,2011,,tvdb-1902,imdb-tt1839494 tmdb-79707 tvdb-1902,jellyfin+plex,0,1,0,,2025-06-23,,,0,,,Hoshi wo Ou Kodomo [720p.BluRay.flac.x264].mkv,Những Đứa Trẻ Đuổi Theo Tinh Tú,
Clockwork Orange County,1985,,tvdb-162649,imdb-tt0791100 imdb-tt1334570 tmdb-298418 tvdb-162649,jellyfin+plex,0,1,0,,2025-06-02,,,0,eng,,The Three-Eyed One - The Prince of Devil Island (1985) {tmdb-298418} [tmdbid-298418].mkv,Clockwork Orange County,
Come Back! Samurai Sentai Shinkenger: Special Act,2010,,tvdb-122679,imdb-tt2365867 tmdb-271952 tvdb-122679,jellyfin+plex,0,1,0,,2021-08-07,,,0,,,Come Back! Samurai Sentai Shinkenger: Special Act.mkv,Samurai Sentai Shinkenger Returns: Special Act,
Crash B-Daman,,,tmdb-44270,tmdb-44270,local,1,0,0,,,,,0,,Crash B-Daman (2006) {tmdb-44270},,,
Cross Fight B-Daman (2011),,,tvdb-272887,tvdb-272887,local,1,0,0,,,,,0,,Cross Fight B-Daman (2011) {tvdb-272887},,,
Dan Da Dan,2024,,tvdb-432832,imdb-tt30217403 tmdb-240411 tvdb-432832,jellyfin,0,1,0,,2026-05-12,,,0,,,Dan Da Dan,,
Dark Phoenix,2019,,tvdb-185,imdb-tt6565702 tmdb-320288 tvdb-185,jellyfin+plex,0,1,0,,2023-10-21,,,1,"eng,vie",,X-Men Dark Phoenix (2019).mkv,X-Men 7: Phượng Hoàng Bóng Tối,
Dawn of the Planet of the Apes,2014,,tvdb-333,imdb-tt2103281 tmdb-119450 tvdb-333,jellyfin+plex,0,1,0,,2023-10-21,,,0,"eng,vie",,Dawn of the Planet of the Apes (2014).mkv,Sự Khởi Đầu Của Hành Tinh Khỉ,
Deadpool,2016,,tvdb-115,imdb-tt1431045 tmdb-293660 tvdb-115,jellyfin+plex,0,1,0,,2025-06-22,,,0,"ara,chi,dan,dut,eng,fin,fre,ger,gre,heb,nor,por,spa,swe,tur,vie",,Deadpool.2016.1080p.BluRay.DTS.x264-HDMaNiAcS-KM.mkv,Deadpool,
Deadpool & Wolverine,2024,,tvdb-49196,imdb-tt6263850 tmdb-533535 tvdb-49196,jellyfin+plex,0,1,0,,2025-06-22,,,0,"eng,fre,spa,vie",,Deadpool.and.Wolverine.2024.1080p.WEB-DL.DDP5.1.Atmos.H.264-FLUX-KM.mkv,Deadpool và Wolverine,
Deadpool 2,2018,,tvdb-91,imdb-tt5463162 tmdb-383498 tvdb-91,jellyfin+plex,0,1,0,,2025-06-22,,,0,"dut,eng,fre,por,spa,vie",,Deadpool.2.2018.Super.Duper.Cut.1080p.BluRay.DTS-ES.x264.HDMaNiAcS-KM.mkv,Deadpool 2,
Death Note,2006,,tvdb-79481,imdb-tt0877057 tmdb-13916 tvdb-79481,jellyfin+plex,0,1,0,,2026-05-12,,39,0,"chi,eng,ind,may,tha,vie",,Death Note,Cuốn Sổ Tử Thần,
Demon Slayer: Kimetsu no Yaiba,2019,,tvdb-348545,imdb-tt9335498 tmdb-85937 tvdb-348545,jellyfin+plex,0,1,0,,2026-05-12,,79,1,"chi,eng,ind,may,tha,vie",,Kimetsu no Yaiba,Thanh Gươm Diệt Quỷ,
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,,tvdb-357931,imdb-tt32820897 tmdb-1311031 tvdb-357928 tvdb-357931,jellyfin+plex,0,1,0,,2026-06-03,,,0,,,Demon Slayer Kimetsu no Yaiba Infinity Castle (2025).strm,Thanh Gươm Diệt Quỷ: Vô Hạn Thành,
Detective Conan: Captured in Her Eyes,2000,,tvdb-5726,imdb-tt1068773 tmdb-20677 tvdb-5726,jellyfin+plex,0,1,0,,2023-08-02,,,1,"eng,vie",,Detective Conan: Captured in Her Eyes (2000).mkv,Thám Tử Lừng Danh Conan: Thủ Phạm Trong Đôi Mắt,
Detective Conan: Crossroad in the Ancient Capital,2003,,tvdb-9734,imdb-tt1133935 tmdb-39202 tvdb-9734,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Crossroad in the Ancient Capital (2003).mkv,Thám Tử Lừng Danh Conan: Mê Cung Trong Thành Phố Cổ,
Detective Conan: Dimensional Sniper,2014,,tvdb-13924,imdb-tt3455204 tmdb-257512 tvdb-13924,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Dimensional Sniper (2014).mkv,Thám Tử Lừng Danh Conan: Sát Thủ Bắn Tỉa Không Tưởng,
Detective Conan: Full Score of Fear,2008,,tvdb-2646,imdb-tt1155696 tmdb-39207 tvdb-2646,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Full Score of Fear (2008).mkv,Thám Tử Lừng Danh Conan: Tận Cùng Của Sự Sợ Hãi,
Detective Conan: Jolly Roger in the Deep Azure,2007,,tvdb-11950,imdb-tt1146290 tmdb-39206 tvdb-11950,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective.Conan.Movie.11.Jolly.Roger.in.the.Deep.Azure.2007.ViE.1080p.BluRay.DD-EX.5.1.x264-WMD.mkv,Thám Tử Lừng Danh Conan: Kho Báu Dưới Đáy Đại Dương,
Detective Conan: Magician of the Silver Sky,2004,,tvdb-5499,imdb-tt1133559 tmdb-39203 tvdb-5499,jellyfin+plex,0,1,0,,2023-07-31,,,1,"eng,vie",,Detective Conan: Magician of the Silver Sky (2004).mkv,Thám Tử Lừng Danh Conan: Nhà Ảo Thuật Với Đôi Cánh Bạc,
